MPI	NUM_PES 8	Max_Key 268435456	Num_Iters 5	Strong Scaling: 100000 total keys	Round Robin All2All	
TOTAL (sec)	ATA_KEYS (sec)	MAKE_INPUT (sec)	COUNT_BUCKET_SIZES (sec)	BUCKETIZE (sec)	COMPUTE_OFFSETS (sec)	LOCAL_SORT (sec)	ATA_COUNTS (sec)	COMPUTE_RECV_OFFSETS (sec)	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
